Identifier,Title,OBJECT_ID,OBJECT_PORTFOLIO_ID,Target,TargetService,Coverage,Unique coverage (compared to other set),Status
0004-5608,Annals of the Association of American Geographers,9.54925E+11,1E+15,EBSCOhost Environment Complete,getFullTxt,1911-2015,,ACTIVE
0004-5608,Annals of the Association of American Geographers,9.54925E+11,1.11014E+14,EBSCOhost Religion and Philosophy Collection,getFullTxt,1911-2015,,ACTIVE
0004-5608,Annals of the Association of American Geographers,9.54925E+11,1E+15,EBSCOhost SocINDEX with Full Text,getFullTxt,1911-2015,,ACTIVE
0004-5608,Annals of the Association of American Geographers,9.54925E+11,1.11016E+14,JSTOR Arts and Sciences II,getFullTxt,1911-2015,,ACTIVE
0004-5608,Annals of the Association of American Geographers,9.54925E+11,3.81E+15,Taylor & Francis CRKN Social Science and Humanities,getFullTxt,1997-2015,,ACTIVE
0004-8038,The Auk,9.54925E+11,4.97E+15,CRKN Oxford University Press Current,getFullTxt,-1996,,ACTIVE
0004-8038,The Auk,9.54925E+11,1E+15,EBSCOhost Academic Search Complete,getFullTxt,2003-2007,,ACTIVE
0004-8038,The Auk,9.54925E+11,1E+15,EBSCOhost Environment Complete,getFullTxt,2003-2007,,ACTIVE
0004-8038,The Auk,9.54925E+11,4.1E+15,EBSCOhost Environment Complete,getFullTxt,2014-2020,,ACTIVE
0004-8038,The Auk,9.54925E+11,1E+15,JSTOR Life Sciences Collection,getFullTxt,1884-2015,,ACTIVE
0004-9182,Australian Geographer,9.54925E+11,1E+15,EBSCOhost Academic Search Complete,getFullTxt,1997-2020,,ACTIVE
0004-9182,Australian Geographer,9.54925E+11,1E+15,EBSCOhost Environment Complete,getFullTxt,1997-2020,,ACTIVE
0004-9182,Australian Geographer,9.54925E+11,3.81E+15,Taylor & Francis CRKN Social Science and Humanities,getFullTxt,-1997,,ACTIVE
0005-7959,Behaviour,9.54925E+11,1E+15,EBSCOhost Academic Search Complete,getFullTxt,1999-2020,,ACTIVE
0005-7959,Behaviour,9.54925E+11,1E+15,EBSCOhost Environment Complete,getFullTxt,1999-2020,,ACTIVE
0005-7959,Behaviour,9.54925E+11,1E+15,JSTOR Life Sciences Collection,getFullTxt,1947-2017,,ACTIVE
